1	2
1	9
1	17
2	3
2	9
3	49
4	5
4	42
5	6
5	9
5	17
5	42
6	7
6	8
6	17
6	28
6	42
7	8
7	16
7	28
7	44
8	10
8	11
8	14
8	16
8	18
8	19
8	28
9	17
10	11
10	12
10	13
10	14
10	17
10	18
11	12
11	18
12	13
12	14
12	18
13	14
13	15
13	16
13	18
13	32
14	15
14	16
14	18
14	32
14	36
15	16
15	32
15	36
15	37
16	17
16	18
16	32
16	33
16	37
18	19
19	20
19	43
20	21
20	43
21	22
22	27
22	28
22	29
23	24
23	25
23	26
23	27
23	30
23	31
23	39
24	25
24	31
24	39
25	26
25	31
26	27
26	30
26	31
26	32
27	30
28	29
29	85
30	31
30	32
30	33
32	36
32	85
33	36
35	36
35	79
35	82
36	37
37	38
39	40
39	41
39	47
40	41
40	46
40	48
43	44
44	45
45	46
47	48
50	51
50	52
50	59
50	67
51	52
51	59
51	67
52	53
53	93
53	99
54	55
54	92
55	56
55	59
55	67
55	92
56	57
56	58
56	67
56	78
56	92
57	58
57	66
57	78
57	94
58	60
58	61
58	64
58	66
58	68
58	69
58	78
59	67
60	61
60	62
60	64
60	67
60	68
61	62
61	68
62	63
62	68
63	64
63	65
63	66
63	68
63	82
64	65
64	66
64	68
64	82
64	86
65	66
65	82
65	86
65	87
66	67
66	68
66	82
66	83
66	87
68	69
69	70
69	93
70	71
71	72
72	77
72	78
72	79
73	74
73	75
73	76
73	77
73	80
73	81
73	89
74	75
74	81
74	89
75	76
75	81
76	77
76	80
76	81
76	82
77	80
78	79
80	81
80	82
80	83
82	86
85	86
86	87
87	88
89	90
89	91
89	97
90	91
90	96
90	98
93	94
94	95
95	96
97	98
